,loggingTime(txt),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
543,18.341,-0.0786902830004692,0.5079212784767151,3.200766801834106,-0.201385498046875,-0.9330596923828124,0.005584716796875
544,18.388,0.1381253749132156,0.4025972485542297,2.146652460098267,-0.342864990234375,-0.8533782958984375,0.0192413330078125
545,18.411,0.1665343791246414,0.4414644837379456,1.847697973251343,-0.44970703125,-0.86761474609375,0.0065460205078125
546,18.451,0.1060824915766716,0.3788679540157318,2.773147583007812,-0.57330322265625,-0.926025390625,0.014678955078125
547,18.481,-0.0823846235871315,0.4556767046451569,3.286383390426636,-0.5857696533203125,-0.8582611083984375,-0.018280029296875
548,18.511000000000003,0.0265421289950609,0.2997534275054932,2.723437309265137,-0.5904388427734375,-0.7507171630859375,-0.0160675048828125
549,18.568,0.0581903345882892,0.2382226884365082,2.62160062789917,-0.7179107666015625,-0.6912689208984375,-0.022552490234375
550,18.581,-0.0405032187700271,0.2984487414360046,2.166029930114746,-0.7247772216796875,-0.5606689453125,-0.019012451171875
551,18.628,-0.0660434663295745,0.2060588896274567,1.670650243759155,-0.8189849853515625,-0.5087738037109375,-0.02734375
552,18.651,-0.1257161200046539,0.138228714466095,1.566869735717773,-0.8637542724609375,-0.499237060546875,-0.0422210693359375
553,18.688000000000002,-0.1156770661473274,0.1859008967876434,1.271212220191956,-0.85858154296875,-0.4687957763671875,-0.020751953125
554,18.721,-0.0005768407136201,0.107182115316391,0.7090762257575989,-0.85205078125,-0.4302215576171875,-0.0516815185546875
555,18.751,0.0667713060975074,0.0299578979611396,0.3073689937591553,-0.9162750244140624,-0.4170989990234375,-0.0396270751953125
556,18.781000000000002,0.0381247475743293,-0.0117333550006151,0.0257434472441673,-0.9052886962890624,-0.3549957275390625,-0.057769775390625
557,18.821,0.0278081949800252,0.0216909144073724,0.1617707908153534,-0.933135986328125,-0.437652587890625,-0.0376129150390625
558,18.867,-0.0673787742853164,0.0367771908640861,0.0604404397308826,-0.907745361328125,-0.3521575927734375,-0.0511322021484375
559,18.881,0.0541412644088268,-0.0763147473335266,-0.4873158633708954,-0.887786865234375,-0.3553924560546875,-0.0511474609375
560,18.929000000000002,-0.0869756415486335,-0.0186940599232912,-0.2124952226877213,-0.9476318359375,-0.41876220703125,-0.0571136474609375
561,18.952,-0.0257636867463588,-0.0796191915869712,-0.4724327921867371,-0.8844451904296875,-0.4057159423828125,-0.044647216796875
562,18.992,0.0204078033566474,-0.0950988158583641,-0.6771934032440186,-0.88861083984375,-0.4461822509765625,-0.037933349609375
